timestamp,oi_contracts,openInterest,oi_usd
2025-11-09 14:55:00,10495815,1049581.5,42596215.596
2025-11-09 15:00:00,10500727,1050072.7,42343131.5548
2025-11-09 15:05:00,10444770,1044477.0,42400543.815
2025-11-09 15:10:00,10453434,1045343.4,42784860.0186
2025-11-09 15:15:00,10489801,1048980.1,42683000.269
2025-11-09 15:20:00,10480995,1048099.5,43024484.475
2025-11-09 15:25:00,10416728,1041672.8,42891919.2128
2025-11-09 15:30:00,10404812,1040481.2,42717996.1472
2025-11-09 15:35:00,10427767,1042776.7,42956143.3798
2025-11-09 15:40:00,10398274,1039827.4,42789937.3374
2025-11-09 15:45:00,10400196,1040019.6,42784326.3048
2025-11-09 15:50:00,10386777,1038677.7,42619023.3864
2025-11-09 15:55:00,10354605,1035460.5,42378291.8835
2025-11-09 16:00:00,10350155,1035015.5,42351799.2445
2025-11-09 16:05:00,10351204,1035120.4,42314686.8316
2025-11-09 16:10:00,10356191,1035619.1,42270864.8047
2025-11-09 16:15:00,10332408,1033240.8,42093196.9512
2025-11-09 16:20:00,10223587,1022358.7,41666228.8185
2025-11-09 16:25:00,10233703,1023370.3,41830261.0125
2025-11-09 16:30:00,10212338,1021233.8,41760292.5496
2025-11-09 16:35:00,10227211,1022721.1,41763838.8396
2025-11-09 16:40:00,10215105,1021510.5,41887038.0525
2025-11-09 16:45:00,10193328,1019332.8,41924138.7312
2025-11-09 16:50:00,10216349,1021634.9,42154699.2438
2025-11-09 16:55:00,10197131,1019713.1,42168195.8243
2025-11-09 17:00:00,10200140,1020014.0,42212259.376
2025-11-09 17:05:00,10189089,1018908.9,42079918.6611
2025-11-09 17:10:00,10195700,1019570.0,42163297.78
2025-11-09 17:15:00,10218360,1021836.0,42025049.172
2025-11-09 17:20:00,10243002,1024300.2,41994259.5996
2025-11-09 17:25:00,10225992,1022599.2,41914296.0096
2025-11-09 17:30:00,10218265,1021826.5,41965392.5285
2025-11-09 17:35:00,10214940,1021494.0,41961952.026
2025-11-09 17:40:00,10205123,1020512.3,41766506.9021
2025-11-09 17:45:00,10212906,1021290.6,41757508.7622
2025-11-09 17:50:00,10213823,1021382.3,41922636.5035
2025-11-09 17:55:00,10215338,1021533.8,41922725.6182
2025-11-09 18:00:00,10208334,1020833.4,41988919.4088
2025-11-09 18:05:00,10177004,1017700.4,42039168.1232
2025-11-09 18:10:00,10177136,1017713.6,41978650.5728
2025-11-09 18:15:00,10181854,1018185.4,41929892.9574
