timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2025-10-27 23:00:00,1.0647,1.0723,1.0603,1.068,1003883,1003883,1069894.7967,1
2025-10-27 23:15:00,1.0681,1.0727,1.0627,1.0717,1022901,1022901,1090930.5331,1
2025-10-27 23:30:00,1.0717,1.08,1.0676,1.0798,577969,577969,620357.3275,1
2025-10-27 23:45:00,1.0797,1.0869,1.0789,1.0812,939754,939754,1017926.0233,1
2025-10-28 00:00:00,1.0814,1.0815,1.0723,1.0811,1413002,1413002,1521665.1903,1
2025-10-28 00:15:00,1.0813,1.0844,1.0778,1.0811,1366696,1366696,1478020.6188,1
2025-10-28 00:30:00,1.081,1.081,1.0706,1.0752,944688,944688,1014190.2047,1
2025-10-28 00:45:00,1.0752,1.08,1.0702,1.0774,967639,967639,1040756.5485,1
2025-10-28 01:00:00,1.0774,1.083,1.0745,1.0745,909299,909299,981306.5689,1
2025-10-28 01:15:00,1.0745,1.0804,1.0745,1.0774,610742,610742,658175.2337,1
2025-10-28 01:30:00,1.0773,1.0844,1.0717,1.0787,912896,912896,983656.8759,1
2025-10-28 01:45:00,1.0787,1.0807,1.0742,1.0744,460108,460108,495486.0115,1
2025-10-28 02:00:00,1.0745,1.0769,1.0625,1.0636,1105324,1105324,1181368.221,1
2025-10-28 02:15:00,1.0638,1.0672,1.0491,1.0634,2632091,2632091,2785666.6779,1
2025-10-28 02:30:00,1.0632,1.0676,1.0602,1.065,972714,972714,1035497.7383,1
2025-10-28 02:45:00,1.0649,1.0657,1.0555,1.0635,1309958,1309958,1389148.1201,1
2025-10-28 03:00:00,1.0635,1.073,1.0619,1.065,1390949,1390949,1485936.0882,1
2025-10-28 03:15:00,1.0652,1.0713,1.0646,1.0697,810338,810338,865406.6785,1
2025-10-28 03:30:00,1.0696,1.0696,1.0607,1.0649,800404,800404,852332.5495,1
2025-10-28 03:45:00,1.0649,1.067,1.0608,1.0651,503739,503739,535832.1749,1
2025-10-28 04:00:00,1.0651,1.0695,1.0612,1.0692,627466,627466,668177.9143,1
2025-10-28 04:15:00,1.0692,1.0694,1.0651,1.0653,546984,546984,583928.4393,1
2025-10-28 04:30:00,1.0654,1.0753,1.0634,1.0707,790028,790028,846003.3811,1
2025-10-28 04:45:00,1.0708,1.0764,1.0698,1.0728,714317,714317,767379.0664,1
2025-10-28 05:00:00,1.0728,1.0785,1.0616,1.0644,1790554,1790554,1913732.9998,1
2025-10-28 05:15:00,1.0644,1.0667,1.057,1.0623,878245,878245,932082.4535,1
2025-10-28 05:30:00,1.0622,1.0622,1.0523,1.0546,917107,917107,968041.5583,1
2025-10-28 05:45:00,1.0545,1.0545,1.0335,1.0454,4341278,4341278,4535258.2851,1
2025-10-28 06:00:00,1.0454,1.0524,1.0448,1.0453,1624108,1624108,1701070.9051,1
2025-10-28 06:15:00,1.0454,1.0528,1.041,1.0514,1074292,1074292,1125190.6257,1
2025-10-28 06:30:00,1.0514,1.0597,1.0497,1.0584,844914,844914,891143.5488,1
2025-10-28 06:45:00,1.0584,1.0688,1.0568,1.0661,1428707,1428707,1519638.731,1
2025-10-28 07:00:00,1.0663,1.0724,1.0625,1.0657,1029602,1029602,1098900.0308,1
2025-10-28 07:15:00,1.0656,1.0678,1.0635,1.0644,940795,940795,1002194.2714,1
2025-10-28 07:30:00,1.0644,1.067,1.0612,1.0635,567067,567067,603194.3139,1
2025-10-28 07:45:00,1.0634,1.066,1.0564,1.0605,1037550,1037550,1100159.6086,1
2025-10-28 08:00:00,1.0606,1.0652,1.0605,1.0641,716045,716045,761067.2311,1
2025-10-28 08:15:00,1.0641,1.0776,1.063,1.0743,1391292,1391292,1490849.4465,1
2025-10-28 08:30:00,1.0741,1.0815,1.0723,1.0768,972448,972448,1047431.8254,1
2025-10-28 08:45:00,1.0768,1.0789,1.0708,1.0726,809587,809587,870060.0686,1
2025-10-28 09:00:00,1.0725,1.0767,1.0675,1.0688,620161,620161,664554.4131,1
2025-10-28 09:15:00,1.0688,1.071,1.0604,1.0618,668993,668993,712918.7244,1
2025-10-28 09:30:00,1.0619,1.0688,1.0618,1.0676,518885,518885,553040.0999,1
2025-10-28 09:45:00,1.0677,1.074,1.0676,1.0717,422965,422965,453013.7784,1
2025-10-28 10:00:00,1.0718,1.0731,1.0683,1.0703,604535,604535,647447.5145,1
2025-10-28 10:15:00,1.0703,1.0779,1.0698,1.0779,478099,478099,513640.6089,1
2025-10-28 10:30:00,1.0779,1.078,1.0708,1.0765,421478,421478,452880.9647,1
2025-10-28 10:45:00,1.0764,1.0799,1.0744,1.0778,300470,300470,323615.3965,1
